,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-03-25 21:56:00-07:00,12.658666666666667,0.0,8.928,0.7786666666666667,,310.72999999999996,0.0,0.0,1016.3633333333333,,12.658666666666667,16.09,313.8,3.914,
2016-03-25 21:57:00-07:00,12.6465,0.0,8.9235,0.779,,310.72499999999997,0.0,0.0,1016.3675,,12.6465,16.09,313.85,3.9130000000000003,
2016-03-25 21:58:00-07:00,12.634333333333332,0.0,8.919,0.7793333333333333,,310.71999999999997,0.0,0.0,1016.3716666666667,,12.634333333333332,16.09,313.9,3.912,
2016-03-25 21:59:00-07:00,12.622166666666667,0.0,8.9145,0.7796666666666667,,310.715,0.0,0.0,1016.3758333333333,,12.622166666666667,16.09,313.95,3.911,
2016-03-25 22:00:00-07:00,12.61,0.0,8.91,0.78,clear-night,310.71,0.0,0.0,1016.38,Clear,12.61,16.09,314.0,3.91,America/Los_Angeles
2016-03-25 22:01:00-07:00,12.602166666666665,0.0,8.906,0.7801666666666667,,310.70416666666665,0.0,0.0,1016.3823333333333,,12.602166666666665,16.09,314.03333333333336,3.9088333333333334,
2016-03-25 22:02:00-07:00,12.594333333333333,0.0,8.902000000000001,0.7803333333333333,,310.6983333333333,0.0,0.0,1016.3846666666667,,12.594333333333333,16.09,314.06666666666666,3.9076666666666666,
2016-03-25 22:03:00-07:00,12.5865,0.0,8.898,0.7805,,310.6925,0.0,0.0,1016.387,,12.5865,16.09,314.1,3.9065000000000003,
2016-03-25 22:04:00-07:00,12.578666666666667,0.0,8.894,0.7806666666666667,,310.68666666666667,0.0,0.0,1016.3893333333333,,12.578666666666667,16.09,314.1333333333333,3.9053333333333335,
2016-03-25 22:05:00-07:00,12.570833333333333,0.0,8.89,0.7808333333333334,,310.68083333333334,0.0,0.0,1016.3916666666667,,12.570833333333333,16.09,314.1666666666667,3.904166666666667,
2016-03-25 22:06:00-07:00,12.562999999999999,0.0,8.886,0.781,,310.67499999999995,0.0,0.0,1016.394,,12.562999999999999,16.09,314.2,3.903,
2016-03-25 22:07:00-07:00,12.555166666666667,0.0,8.882,0.7811666666666667,,310.6691666666666,0.0,0.0,1016.3963333333334,,12.555166666666667,16.09,314.23333333333335,3.9018333333333333,
2016-03-25 22:08:00-07:00,12.547333333333333,0.0,8.878,0.7813333333333333,,310.6633333333333,0.0,0.0,1016.3986666666667,,12.547333333333333,16.09,314.26666666666665,3.900666666666667,
2016-03-25 22:09:00-07:00,12.5395,0.0,8.874,0.7815000000000001,,310.65749999999997,0.0,0.0,1016.401,,12.5395,16.09,314.3,3.8995,
2016-03-25 22:10:00-07:00,12.531666666666666,0.0,8.870000000000001,0.7816666666666667,,310.65166666666664,0.0,0.0,1016.4033333333333,,12.531666666666666,16.09,314.3333333333333,3.8983333333333334,
2016-03-25 22:11:00-07:00,12.523833333333332,0.0,8.866,0.7818333333333334,,310.6458333333333,0.0,0.0,1016.4056666666667,,12.523833333333332,16.09,314.3666666666667,3.8971666666666667,
2016-03-25 22:12:00-07:00,12.516,0.0,8.862,0.782,,310.64,0.0,0.0,1016.408,,12.516,16.09,314.4,3.896,
2016-03-25 22:13:00-07:00,12.508166666666666,0.0,8.858,0.7821666666666667,,310.63416666666666,0.0,0.0,1016.4103333333334,,12.508166666666666,16.09,314.43333333333334,3.8948333333333336,
2016-03-25 22:14:00-07:00,12.500333333333334,0.0,8.854,0.7823333333333333,,310.62833333333333,0.0,0.0,1016.4126666666666,,12.500333333333334,16.09,314.46666666666664,3.893666666666667,
2016-03-25 22:15:00-07:00,12.4925,0.0,8.85,0.7825000000000001,,310.6225,0.0,0.0,1016.415,,12.4925,16.09,314.5,3.8925,
2016-03-25 22:16:00-07:00,12.484666666666666,0.0,8.846,0.7826666666666667,,310.6166666666667,0.0,0.0,1016.4173333333333,,12.484666666666666,16.09,314.53333333333336,3.8913333333333333,
2016-03-25 22:17:00-07:00,12.476833333333333,0.0,8.842,0.7828333333333334,,310.61083333333335,0.0,0.0,1016.4196666666667,,12.476833333333333,16.09,314.56666666666666,3.8901666666666666,
2016-03-25 22:18:00-07:00,12.469,0.0,8.838000000000001,0.783,,310.605,0.0,0.0,1016.422,,12.469,16.09,314.6,3.8890000000000002,
2016-03-25 22:19:00-07:00,12.461166666666667,0.0,8.834,0.7831666666666667,,310.59916666666663,0.0,0.0,1016.4243333333334,,12.461166666666667,16.09,314.6333333333333,3.8878333333333335,
2016-03-25 22:20:00-07:00,12.453333333333333,0.0,8.83,0.7833333333333333,,310.5933333333333,0.0,0.0,1016.4266666666666,,12.453333333333333,16.09,314.6666666666667,3.8866666666666667,
2016-03-25 22:21:00-07:00,12.4455,0.0,8.826,0.7835000000000001,,310.5875,0.0,0.0,1016.429,,12.4455,16.09,314.7,3.8855,
2016-03-25 22:22:00-07:00,12.437666666666667,0.0,8.822,0.7836666666666667,,310.58166666666665,0.0,0.0,1016.4313333333333,,12.437666666666667,16.09,314.73333333333335,3.884333333333333,
2016-03-25 22:23:00-07:00,12.429833333333333,0.0,8.818,0.7838333333333334,,310.5758333333333,0.0,0.0,1016.4336666666667,,12.429833333333333,16.09,314.76666666666665,3.883166666666667,
2016-03-25 22:24:00-07:00,12.422,0.0,8.814,0.784,,310.57,0.0,0.0,1016.436,,12.422,16.09,314.8,3.882,
2016-03-25 22:25:00-07:00,12.414166666666667,0.0,8.81,0.7841666666666667,,310.56416666666667,0.0,0.0,1016.4383333333333,,12.414166666666667,16.09,314.8333333333333,3.8808333333333334,
2016-03-25 22:26:00-07:00,12.406333333333333,0.0,8.806000000000001,0.7843333333333333,,310.55833333333334,0.0,0.0,1016.4406666666666,,12.406333333333333,16.09,314.8666666666667,3.8796666666666666,
2016-03-25 22:27:00-07:00,12.3985,0.0,8.802,0.7845000000000001,,310.5525,0.0,0.0,1016.443,,12.3985,16.09,314.9,3.8785,
2016-03-25 22:28:00-07:00,12.390666666666666,0.0,8.798,0.7846666666666667,,310.5466666666667,0.0,0.0,1016.4453333333333,,12.390666666666666,16.09,314.93333333333334,3.8773333333333335,
2016-03-25 22:29:00-07:00,12.382833333333334,0.0,8.794,0.7848333333333334,,310.54083333333335,0.0,0.0,1016.4476666666667,,12.382833333333334,16.09,314.96666666666664,3.8761666666666668,
2016-03-25 22:30:00-07:00,12.375,0.0,8.79,0.785,,310.53499999999997,0.0,0.0,1016.45,,12.375,16.09,315.0,3.875,
2016-03-25 22:31:00-07:00,12.367166666666666,0.0,8.786,0.7851666666666667,,310.52916666666664,0.0,0.0,1016.4523333333333,,12.367166666666666,16.09,315.03333333333336,3.8738333333333332,
2016-03-25 22:32:00-07:00,12.359333333333334,0.0,8.782,0.7853333333333333,,310.5233333333333,0.0,0.0,1016.4546666666666,,12.359333333333334,16.09,315.06666666666666,3.8726666666666665,
2016-03-25 22:33:00-07:00,12.3515,0.0,8.778,0.7855000000000001,,310.5175,0.0,0.0,1016.457,,12.3515,16.09,315.1,3.8715,
2016-03-25 22:34:00-07:00,12.343666666666667,0.0,8.774000000000001,0.7856666666666667,,310.51166666666666,0.0,0.0,1016.4593333333333,,12.343666666666667,16.09,315.1333333333333,3.8703333333333334,
2016-03-25 22:35:00-07:00,12.335833333333333,0.0,8.77,0.7858333333333334,,310.5058333333333,0.0,0.0,1016.4616666666667,,12.335833333333333,16.09,315.1666666666667,3.8691666666666666,
2016-03-25 22:36:00-07:00,12.328,0.0,8.766,0.786,,310.5,0.0,0.0,1016.4639999999999,,12.328,16.09,315.2,3.868,
2016-03-25 22:37:00-07:00,12.320166666666667,0.0,8.762,0.7861666666666667,,310.4941666666667,0.0,0.0,1016.4663333333333,,12.320166666666667,16.09,315.23333333333335,3.866833333333333,
2016-03-25 22:38:00-07:00,12.312333333333333,0.0,8.758,0.7863333333333333,,310.48833333333334,0.0,0.0,1016.4686666666666,,12.312333333333333,16.09,315.26666666666665,3.865666666666667,
2016-03-25 22:39:00-07:00,12.3045,0.0,8.754,0.7865000000000001,,310.4825,0.0,0.0,1016.471,,12.3045,16.09,315.3,3.8645,
2016-03-25 22:40:00-07:00,12.296666666666667,0.0,8.75,0.7866666666666667,,310.4766666666667,0.0,0.0,1016.4733333333334,,12.296666666666667,16.09,315.3333333333333,3.8633333333333333,
2016-03-25 22:41:00-07:00,12.288833333333333,0.0,8.746,0.7868333333333334,,310.47083333333336,0.0,0.0,1016.4756666666666,,12.288833333333333,16.09,315.3666666666667,3.8621666666666665,
2016-03-25 22:42:00-07:00,12.281,0.0,8.742,0.787,,310.46500000000003,0.0,0.0,1016.478,,12.281,16.09,315.4,3.8609999999999998,
2016-03-25 22:43:00-07:00,12.273166666666667,0.0,8.738,0.7871666666666667,,310.45916666666665,0.0,0.0,1016.4803333333333,,12.273166666666667,16.09,315.43333333333334,3.8598333333333334,
2016-03-25 22:44:00-07:00,12.265333333333334,0.0,8.734,0.7873333333333333,,310.4533333333333,0.0,0.0,1016.4826666666667,,12.265333333333334,16.09,315.46666666666664,3.8586666666666667,
2016-03-25 22:45:00-07:00,12.2575,0.0,8.73,0.7875000000000001,,310.4475,0.0,0.0,1016.485,,12.2575,16.09,315.5,3.8575,
2016-03-25 22:46:00-07:00,12.249666666666666,0.0,8.725999999999999,0.7876666666666667,,310.44166666666666,0.0,0.0,1016.4873333333334,,12.249666666666666,16.09,315.53333333333336,3.856333333333333,
2016-03-25 22:47:00-07:00,12.241833333333334,0.0,8.722,0.7878333333333334,,310.43583333333333,0.0,0.0,1016.4896666666666,,12.241833333333334,16.09,315.56666666666666,3.8551666666666664,
2016-03-25 22:48:00-07:00,12.234,0.0,8.718,0.788,,310.43,0.0,0.0,1016.492,,12.234,16.09,315.6,3.854,
2016-03-25 22:49:00-07:00,12.226166666666668,0.0,8.714,0.7881666666666667,,310.4241666666667,0.0,0.0,1016.4943333333333,,12.226166666666668,16.09,315.6333333333333,3.8528333333333333,
2016-03-25 22:50:00-07:00,12.218333333333334,0.0,8.71,0.7883333333333333,,310.41833333333335,0.0,0.0,1016.4966666666667,,12.218333333333334,16.09,315.6666666666667,3.8516666666666666,
2016-03-25 22:51:00-07:00,12.2105,0.0,8.706,0.7885000000000001,,310.4125,0.0,0.0,1016.499,,12.2105,16.09,315.7,3.8505,
2016-03-25 22:52:00-07:00,12.202666666666667,0.0,8.702,0.7886666666666667,,310.4066666666667,0.0,0.0,1016.5013333333333,,12.202666666666667,16.09,315.73333333333335,3.849333333333333,
2016-03-25 22:53:00-07:00,12.194833333333333,0.0,8.698,0.7888333333333334,,310.40083333333337,0.0,0.0,1016.5036666666666,,12.194833333333333,16.09,315.76666666666665,3.8481666666666667,
2016-03-25 22:54:00-07:00,12.187000000000001,0.0,8.693999999999999,0.789,,310.39500000000004,0.0,0.0,1016.506,,12.187000000000001,16.09,315.8,3.847,
2016-03-25 22:55:00-07:00,12.179166666666667,0.0,8.69,0.7891666666666667,,310.38916666666665,0.0,0.0,1016.5083333333333,,12.179166666666667,16.09,315.8333333333333,3.845833333333333,
2016-03-25 22:56:00-07:00,12.171333333333333,0.0,8.686,0.7893333333333333,,310.3833333333333,0.0,0.0,1016.5106666666667,,12.171333333333333,16.09,315.8666666666667,3.8446666666666665,
2016-03-25 22:57:00-07:00,12.1635,0.0,8.682,0.7895000000000001,,310.3775,0.0,0.0,1016.513,,12.1635,16.09,315.9,3.8434999999999997,
2016-03-25 22:58:00-07:00,12.155666666666667,0.0,8.678,0.7896666666666667,,310.37166666666667,0.0,0.0,1016.5153333333333,,12.155666666666667,16.09,315.93333333333334,3.8423333333333334,
2016-03-25 22:59:00-07:00,12.147833333333335,0.0,8.674,0.7898333333333334,,310.36583333333334,0.0,0.0,1016.5176666666666,,12.147833333333335,16.09,315.96666666666664,3.8411666666666666,
2016-03-25 23:00:00-07:00,12.14,0.0,8.67,0.79,clear-night,310.36,0.0,0.0,1016.52,Clear,12.14,16.09,316.0,3.84,America/Los_Angeles
2016-03-25 23:01:00-07:00,12.133666666666667,0.00016666666666666666,8.663166666666667,0.79,,310.35333333333335,0.0,0.0,1016.519,,12.133666666666667,16.09,316.05,3.8386666666666667,
